veldnaam,datatype,omschrijving
vondstnummer,Text,Vondstnummer
project_code,Text,Project code (Locatie)
categorie,Text,Materiaal categorie
subcategorie,Text,Materiaal
gewicht,Double,Gewicht in gram
object,Text,Objectnaam
objectdeel,Text,Objectdeel
fragmenten,Long,Aantal fragmenten
past_aan_hoort_bij,Memo,Past aan of hoort bij vonstnummer(s)
begin_dat,Long,Begin datering
eind_dat,Long,Eind datering
put,Text,Putnummer
vlak,Text,Vlaknummer
spoor,Text,Spoornummer
vak,Text,Vaknummer
vlak_min,Double,Minimum hoogte vlak (NAP)
vlak_max,Double,Maximum hoogte vlak (NAP)
trefwoorden,Memo,Trefwoorden (alleen bij gefotografeerde vondsten)
niveau1,Memo,Niveau 1 van de functionele classificatie
niveau2,Memo,Niveau 2 van de functionele classificatie
niveau3,Memo,Niveau 3 van de functionele classificatie
niveau4,Memo,Niveau 4 van de functionele classificatie
website,Boolean,"Aanwezig op de website (1=Ja, 0=Nee)"
aardewerk_ds_type,Text,Aardewerk: Deventer systeem code
aardewerk_eve_rand,Double,Aardewerk: rand-EVE (Estimated vessel equivalent)
aardewerk_eve_bodem,Double,Aardewerk: bodem-EVE (Estimated vessel equivalent)
aardewerk_herkomst,Text,Aardewerk: Herkomst
aardewerk_object_diameter_mm,Double,Aardewerk: (gereconstrueerde) object diameter in mm
aardewerk_object_hoogte_mm,Double,Aardewerk: (gereconstrueerde) object hoogte in mm
aardewerk_fragm_lengte_mm,Double,Aardewerk: Fragment lengte in mm
aardewerk_fragm_breedte_mm,Double,Aardewerk: Fragment breedte in mm
aardewerk_fragm_hoogte_mm,Double,Aardewerk: Fragment hoogte in mm
aardewerk_opp_behandeling,Text,Aardewerk: Oppervlakte behandeling
aardewerk_decoratietechniek,Text,Aardewerk: Decoratietechniek
aardewerk_decorgroepen,Text,Aardewerk: Decorgroepen
aardewerk_merk,Text,Aardewerk: Merk
blankewapens_totale_lengte_mm,Long,Blanke wapens: Totale lengte in mm
blankewapens_type_lemmet,Text,Blanke wapens: Type lemmet
blankewapens_type_klingvanger,Text,Blanke wapens: Type klingvanger
blankewapens_type_heft,Text,Blanke wapens: Type heft
blankewapens_materiaal_heft,Text,Blanke wapens: Materiaal van het heft
blankewapens_type_heftbekroning,Text,Blanke wapens: Type heftbekroning
blankewapens_productiemerk,Text,Blanke wapens: Productiemerk
bouwmaterialen_kleur,Text,Bouwmaterialen: Kleur
bouwmaterialen_grootstelengte_mm,Double,Bouwmaterialen: Grootste lengte in mm
bouwmaterialen_grootstebreedte_mm,Double,Bouwmaterialen: Grootste breedte in mm
bouwmaterialen_grootstedikte_mm,Double,Bouwmaterialen: Grootste dikte in mm
bouwmaterialen_productiecentrum,Text,Bouwmaterialen: Productiecentrum
bouwmaterialen_afbeelding,Text,Bouwmaterialen: Type afbeelding
